Time,Transmitted,Incident,Beam_fraction
5/8/2014 9:44,1627.4,1880.6,0.7
5/8/2014 9:44,1565.5,1883.7,0.71
5/8/2014 9:44,1588.9,1892.2,0.71
5/8/2014 9:44,1615.8,1889.8,0.71
5/8/2014 9:44,1547.4,1901.4,0.72
5/8/2014 9:45,1643.3,1915.4,0.72
5/8/2014 9:45,1600.9,1923.4,0.72
5/8/2014 9:45,852.7,1895.3,0.72
5/8/2014 9:45,708.4,1129.3,0.54
5/8/2014 9:45,1019.6,1042.6,0.5
5/8/2014 9:45,1637.9,1858.7,0.71
5/8/2014 9:46,17.3,1830.6,0.71
5/8/2014 9:47,12.4,1604.2,0.67
5/8/2014 9:47,19.7,1433.9,0.64
5/8/2014 9:47,40.1,1435.1,0.64
5/8/2014 9:47,6.5,1551.7,0.67
5/8/2014 9:47,28,1780.5,0.72
5/8/2014 9:47,8.1,1812.9,0.72
5/8/2014 9:48,15.9,1832.4,0.73
5/8/2014 9:48,14.1,1817.8,0.72
5/8/2014 9:48,7.3,1848.3,0.72
5/8/2014 9:48,8.7,1864.8,0.71
5/8/2014 9:48,10.5,1874.5,0.7
5/8/2014 9:48,14.9,1875.8,0.69
5/8/2014 9:49,17.8,1881.3,0.68
5/8/2014 9:49,25,1893.5,0.67
5/8/2014 9:49,36.9,1902.6,0.66
5/8/2014 9:49,14,1925.2,0.65
5/8/2014 9:49,22.3,1934.4,0.64
5/8/2014 9:49,11.1,1936.2,0.64
5/8/2014 12:23,1893.4,2259.1,0.68
5/8/2014 12:23,1931.2,2259.1,0.68
5/8/2014 12:24,1990.5,2259.1,0.68
5/8/2014 12:24,1973.2,2259.1,0.68
5/8/2014 12:24,2005.7,2259.1,0.68
5/8/2014 12:24,1969.5,2259.1,0.68
5/8/2014 12:24,1974.1,2259.1,0.68
5/8/2014 12:24,2048.1,2260.3,0.69
5/8/2014 12:24,1978.2,2257.2,0.69
5/8/2014 12:24,1940.7,2257.2,0.69
5/8/2014 12:25,290.3,2268.8,0.69
5/8/2014 12:25,82.1,2276.8,0.7
5/8/2014 12:25,79.1,2282.9,0.7
5/8/2014 12:25,356.8,2296.3,0.7
5/8/2014 12:25,235.2,2300,0.7
5/8/2014 12:25,345.7,2303,0.7
5/8/2014 12:25,533.5,2309.7,0.71
5/8/2014 12:25,1021.1,2314,0.71
5/8/2014 12:25,820,2241.4,0.7
5/8/2014 12:25,1239.4,2110.1,0.68
5/8/2014 12:25,414.2,2221.2,0.7
5/8/2014 12:26,511,2202.3,0.7
5/8/2014 12:26,849.7,2171.2,0.69
5/8/2014 12:26,811.4,2240.1,0.7
5/8/2014 12:26,879,2367.7,0.72
5/8/2014 12:26,1639.6,2378.7,0.72
5/8/2014 12:26,953.3,2386,0.72
5/8/2014 12:26,1542.4,2404.9,0.72
5/8/2014 12:26,445.9,2270.1,0.71
5/8/2014 12:26,139.6,1910.6,0.65
5/8/2014 12:26,1178.6,2129.1,0.68
5/8/2014 12:26,783.9,1985.6,0.66
5/8/2014 12:26,266.8,1134.2,0.42
5/8/2014 12:27,194.6,862.6,0.23
5/8/2014 12:27,254.8,840,0.2
5/8/2014 12:27,215.2,840,0.2
5/8/2014 12:27,68.1,857.7,0.21
5/8/2014 12:27,283.5,910.8,0.25
5/8/2014 12:27,653.8,1266,0.45
5/8/2014 13:00,534.7,620.3,0.16
5/8/2014 13:00,570.8,697.2,0.22
5/8/2014 13:00,711.1,785.1,0.35
5/8/2014 13:00,557.7,799.7,0.31
5/8/2014 13:00,591.8,766.1,0.28
5/8/2014 13:01,604.5,719.1,0.23
5/8/2014 13:01,611.6,626.4,0.35
5/8/2014 13:01,752.3,829,0.34
5/8/2014 13:01,1168.9,1301.4,0.57
5/8/2014 13:01,1433,1844.6,0.69
5/8/2014 13:01,574.1,1090.2,0.49
5/8/2014 13:01,36.2,1364.3,0.59
5/8/2014 13:01,227.3,1301.4,0.57
5/8/2014 13:01,114.4,1075.6,0.48
5/8/2014 13:02,73.2,1364.9,0.59
5/8/2014 13:02,27.4,1100.6,0.5
5/8/2014 13:02,119.9,1056.7,0.48
5/8/2014 13:02,48.3,1171.4,0.53
5/8/2014 13:02,132.4,1208.6,0.54
5/8/2014 13:02,19,1250.2,0.56
5/8/2014 13:02,302,1843.4,0.69
5/8/2014 13:02,279.9,1521.8,0.63
5/8/2014 13:02,425.3,1472.3,0.62
5/8/2014 13:02,219.1,1815.3,0.69
5/8/2014 13:02,17.1,2047.3,0.72
5/8/2014 13:02,329.1,1899.6,0.7
5/8/2014 13:03,133.6,2102.2,0.73
5/8/2014 13:03,309.3,1155.5,0.52
5/8/2014 13:03,4.8,602,0.09
5/8/2014 13:03,213.9,562.3,0.05
5/8/2014 13:03,112.1,538.5,0.04
5/8/2014 13:38,548,644.1,0.04
5/8/2014 13:38,567.2,645.3,0.04
5/8/2014 13:38,565.9,641,0.04
5/8/2014 13:39,539.3,638,0.04
5/8/2014 13:39,574.7,641,0.04
5/8/2014 13:39,535.6,644.1,0.04
5/8/2014 13:39,541.7,642.2,0.03
5/8/2014 13:39,560.4,641,0.03
5/8/2014 13:39,543,642.2,0.03
5/8/2014 13:39,540.2,637.4,0.03
5/8/2014 13:39,3.2,655.1,0.06
5/8/2014 13:39,2.2,666,0.08
5/8/2014 13:39,2.9,755.2,0.19
5/8/2014 13:40,4,733.8,0.17
5/8/2014 13:40,4.7,832.1,0.25
5/8/2014 13:40,7.3,1428.4,0.56
5/8/2014 13:40,6.4,1910.6,0.66
5/8/2014 13:40,14.3,2188.9,0.7
5/8/2014 13:40,4.4,1935.6,0.67
5/8/2014 13:41,1.5,744.2,0.21
5/8/2014 13:41,2.6,857.1,0.31
5/8/2014 13:41,2.6,835.7,0.3
5/8/2014 13:41,3.8,985.9,0.4
5/8/2014 13:41,3.7,843.7,0.29
5/8/2014 13:51,18,439.6,0.04
5/8/2014 13:51,3.7,442,0.04
5/8/2014 13:51,4.3,453,0.03
5/8/2014 13:51,7.7,463.4,0.03
5/8/2014 13:52,7.9,468.3,0.04
5/8/2014 13:52,4.5,474.4,0.05
5/8/2014 13:52,2.3,483.6,0.06
5/8/2014 13:52,3.8,487.2,0.07
5/8/2014 13:52,3,495.1,0.07
5/8/2014 13:52,2.3,498.2,0.08
5/8/2014 13:53,4.5,506.1,0.09
5/8/2014 13:53,8.3,1073.8,0.56
5/8/2014 13:53,6.6,1408.2,0.65
5/8/2014 13:53,10.7,1523,0.67
5/8/2014 13:53,5,602,0.21
5/8/2014 13:54,5,547,0.13
5/8/2014 13:54,6.1,523.2,0.08
5/8/2014 13:54,2.2,515.3,0.06
5/8/2014 13:54,3.6,509.2,0.06
5/8/2014 11:56,512.4,581.2,0.07
5/8/2014 11:56,475.4,582.4,0.06
5/8/2014 11:56,542.7,576.3,0.06
5/8/2014 11:56,548.2,575.1,0.06
5/8/2014 11:56,529,573.9,0.06
5/8/2014 11:57,506.8,571.4,0.07
5/8/2014 11:57,520.2,570.2,0.07
5/8/2014 11:57,461.4,569,0.07
5/8/2014 11:57,514.8,565.9,0.07
5/8/2014 11:57,6.6,553.1,0.08
5/8/2014 11:57,6.1,547,0.09
5/8/2014 11:58,4.9,548.2,0.09
5/8/2014 11:58,5.8,548.2,0.09
5/8/2014 11:58,5.9,549.5,0.08
5/8/2014 11:58,5.9,559.2,0.07
5/8/2014 11:59,5.9,584.9,0.07
5/8/2014 11:59,6.3,606.8,0.09
5/8/2014 11:59,7,639.2,0.13
5/8/2014 11:59,9.2,691.1,0.17
5/8/2014 11:59,18,1808.6,0.65
5/8/2014 11:59,16.9,1844.6,0.65
5/8/2014 12:00,9.8,926.7,0.33
5/8/2014 12:00,9.9,821.1,0.24
5/8/2014 12:09,13.1,848.5,0.11
5/8/2014 12:09,8.8,813.1,0.08
5/8/2014 12:10,10.3,796.1,0.07
5/8/2014 12:10,13.6,813.1,0.09
5/8/2014 12:10,8.9,879.1,0.15
5/8/2014 12:10,6.2,788.1,0.06
5/8/2014 12:11,15,763.7,0.02
5/8/2014 12:11,25,758.8,0.02
5/8/2014 12:11,14.1,749.1,0
5/8/2014 12:11,15.9,739.9,0
5/8/2014 12:11,34.1,730.7,0.01
5/8/2014 12:11,13.7,727.7,0.02
5/8/2014 12:12,11.9,722.2,0.03
5/8/2014 12:12,12.9,721,0.03
5/8/2014 14:28,770.1,946.8,0
5/8/2014 14:28,796.6,945,0
5/8/2014 14:28,798,923.6,0
5/8/2014 14:28,793.1,943.8,0
5/8/2014 14:29,795.2,943.8,0
5/8/2014 14:29,793.3,942.5,0
5/8/2014 14:29,776.4,942.5,0
5/8/2014 14:29,767.3,940.7,0
5/8/2014 14:29,776.1,939.5,0
5/8/2014 14:29,794.9,938.9,0
5/8/2014 14:29,21.8,916.9,0
5/8/2014 14:30,21.4,901.6,0
5/8/2014 14:30,20.6,906.5,0
5/8/2014 14:30,18.2,901.6,0
5/8/2014 14:30,43.1,898.6,0
5/8/2014 14:30,36.6,894.9,0
5/8/2014 14:30,42.7,891.9,0
5/8/2014 14:30,27.8,887.6,0
5/8/2014 14:31,55.1,884.6,0
5/8/2014 14:31,34.7,880.9,0
5/8/2014 14:31,27.6,876,0
5/8/2014 14:31,19.1,873,0.01
5/8/2014 14:31,17.6,870.5,0.01
5/8/2014 14:31,15.1,865,0.01
5/8/2014 14:31,22.3,862,0.01
5/8/2014 14:59,522.6,625.2,0
5/8/2014 14:59,517.9,625.2,0
5/8/2014 14:59,530.8,628.2,0
5/8/2014 14:59,534.3,623.3,0
5/8/2014 14:59,533.7,616,0
5/8/2014 14:59,528.5,628.2,0
5/8/2014 14:59,525.6,631.3,0
5/8/2014 15:00,533.8,631.3,0
5/8/2014 15:00,532.2,631.3,0
5/8/2014 15:00,23.4,637.4,0
5/8/2014 15:00,51,634.3,0
5/8/2014 15:00,50.5,634.3,0
5/8/2014 15:01,62.4,636.1,0
5/8/2014 15:01,132.5,636.1,0
5/8/2014 15:01,23.4,638,0
5/8/2014 15:01,20.3,639.2,0
5/8/2014 15:01,18.4,638,0
5/8/2014 15:01,36.6,638,0
5/8/2014 15:02,72.1,638,0
5/8/2014 15:02,67.7,638,0
5/8/2014 15:02,41.5,637.4,0
5/8/2014 15:02,75.6,637.4,0
5/8/2014 15:02,57.6,634.3,0
5/8/2014 15:02,44.7,636.1,0
5/8/2014 15:02,50.8,637.4,0
5/8/2014 15:02,14,637.4,0
5/8/2014 15:30,1056.1,1242.2,0.34
5/8/2014 15:30,1124.3,1294.1,0.36
5/8/2014 15:30,1231.2,1433.3,0.42
5/8/2014 15:30,1270.8,1491.9,0.44
5/8/2014 15:30,1190.2,1523,0.45
5/8/2014 15:30,1097.3,1529.7,0.45
5/8/2014 15:30,1204.8,1502.8,0.44
5/8/2014 15:30,1193.7,1494.9,0.44
5/8/2014 15:30,1108.8,1507.1,0.44
5/8/2014 15:30,1044.3,1505.9,0.44
5/8/2014 15:31,14.8,1551.7,0.46
5/8/2014 15:31,24,1496.1,0.44
5/8/2014 15:31,50.1,1336.2,0.38
5/8/2014 15:31,16.4,1386.3,0.4
5/8/2014 15:32,23.6,805.8,0.11
5/8/2014 15:32,11.6,755.8,0.08
5/8/2014 15:33,10.1,744.2,0.08
5/8/2014 15:33,8.8,716.7,0.07
5/8/2014 15:33,32.4,694.7,0.06
5/8/2014 15:33,40.7,686.2,0.05
5/8/2014 15:33,55.9,661.8,0.04
5/8/2014 15:33,31.7,655.1,0.03
5/8/2014 15:33,27.3,650.2,0.03
5/8/2014 15:33,21.5,639.8,0.02
6/9/2014 10:43,1528,1904.4,0.85
6/9/2014 10:43,1636,1904.4,0.85
6/9/2014 10:43,1586.5,1906.3,0.85
6/9/2014 10:43,1654.9,1906.3,0.85
6/9/2014 10:43,1527.1,1908.7,0.85
6/9/2014 10:43,1513.3,1906.3,0.85
6/9/2014 10:44,1619.8,1906.3,0.85
6/9/2014 10:44,1572.5,1906.3,0.85
6/9/2014 10:44,1512.2,1904.4,0.85
6/9/2014 10:44,1589.6,1906.3,0.85
6/9/2014 10:44,1398.1,1907.5,0.85
6/9/2014 10:55,199.9,1946.6,0.85
6/9/2014 10:56,53.5,1948.4,0.85
6/9/2014 10:56,100,1948.4,0.85
6/9/2014 10:56,46.2,1948.4,0.85
6/9/2014 10:56,38.5,1951.4,0.85
6/9/2014 10:56,54.6,1948.4,0.85
6/9/2014 10:56,145.8,1951.4,0.85
6/9/2014 10:56,153.9,1948.4,0.85
6/9/2014 10:57,61.9,1949.6,0.85
6/9/2014 10:57,77.3,1950.2,0.85
6/9/2014 10:57,98,1951.4,0.85
6/9/2014 10:57,57.1,1951.4,0.85
6/9/2014 10:57,31.9,1953.3,0.85
6/9/2014 10:58,57.8,1952.7,0.85
6/9/2014 10:58,90.6,1951.4,0.85
6/9/2014 10:58,33.6,1954.5,0.85
6/9/2014 10:58,41.2,1954.5,0.85
6/9/2014 10:58,46.2,1958.2,0.85
6/9/2014 10:58,30.3,1959.4,0.85
6/9/2014 11:05,1627.7,1967.3,0.85
6/9/2014 11:06,1609.9,1968.5,0.85
6/9/2014 11:06,1656.3,1969.1,0.85
6/9/2014 11:06,1584.7,1968.5,0.85
6/9/2014 11:06,1646.7,1968.5,0.85
6/9/2014 11:06,1657,1972.2,0.85
6/9/2014 11:06,1673.5,1969.1,0.85
6/9/2014 11:06,1616.9,1969.1,0.85
6/9/2014 11:06,1677.2,1969.1,0.85
6/9/2014 11:06,1674.5,1969.1,0.85
6/9/2014 11:07,138.9,1968.5,0.85
6/9/2014 11:07,220.3,1972.2,0.85
6/9/2014 11:07,139.8,1971.6,0.85
6/9/2014 11:07,509,1967.3,0.85
6/9/2014 11:07,135.8,1969.1,0.85
6/9/2014 11:07,32.2,1969.1,0.85
6/9/2014 11:07,52.9,1972.2,0.85
6/9/2014 11:07,49.4,1970.4,0.85
6/9/2014 11:08,76.3,1969.1,0.85
6/9/2014 11:08,79.3,1972.2,0.85
6/9/2014 11:08,71.2,1970.4,0.85
6/9/2014 11:08,213.2,1971.6,0.85
6/9/2014 11:08,314.9,1972.2,0.85
6/9/2014 11:08,84.7,1972.2,0.85
6/9/2014 11:08,114.3,1969.1,0.85
6/9/2014 11:08,354.1,1970.4,0.85
6/9/2014 11:09,106.9,1971.6,0.85
6/9/2014 11:09,210.7,1972.2,0.85
6/9/2014 11:09,144.5,1972.2,0.85
6/9/2014 11:15,1626.8,1978.3,0.85
6/9/2014 11:15,1668,1981.4,0.85
6/9/2014 11:15,1654.4,1981.4,0.85
6/9/2014 11:15,1621.1,1984.4,0.85
6/9/2014 11:15,1619.8,1982.6,0.85
6/9/2014 11:15,1669.5,1981.4,0.85
6/9/2014 11:15,1570.6,1982.6,0.85
6/9/2014 11:15,1514.3,1984.4,0.85
6/9/2014 11:15,1603.7,1981.4,0.85
6/9/2014 11:15,1660.4,1981.4,0.85
6/9/2014 11:15,1712.1,1981.4,0.85
6/9/2014 11:16,1710.5,1979.5,0.85
6/9/2014 11:16,1607.9,1984.4,0.85
6/9/2014 11:17,84.8,1985.6,0.85
6/9/2014 11:17,111.3,1984.4,0.85
6/9/2014 11:17,95.2,1981.4,0.85
6/9/2014 11:17,157.9,1984.4,0.85
6/9/2014 11:17,54.4,1987.5,0.85
6/9/2014 11:18,29,1987.5,0.85
6/9/2014 11:18,66.2,1984.4,0.85
6/9/2014 11:18,27.5,1984.4,0.85
6/9/2014 11:18,35.5,1983.2,0.85
6/9/2014 11:18,45.4,1987.5,0.85
6/9/2014 11:18,88.1,1988.7,0.85
6/9/2014 11:18,72.4,1986.2,0.85
6/9/2014 11:18,34.3,1988.7,0.85
6/9/2014 11:19,32.7,1988.7,0.85
6/9/2014 11:19,91,1989.3,0.85
6/9/2014 11:19,164.4,1988.7,0.85
6/9/2014 11:19,69.1,1988.7,0.85
6/9/2014 11:20,96.6,1988.7,0.85
6/9/2014 11:20,119,1988.7,0.85
6/9/2014 11:53,1722.4,1922.8,0.85
6/9/2014 11:53,1698,1923.4,0.85
6/9/2014 11:53,1626.8,1925.2,0.85
6/9/2014 11:53,1613.1,1927.6,0.85
6/9/2014 11:53,1627,1925.2,0.85
6/9/2014 11:53,1649.7,1925.2,0.85
6/9/2014 11:53,1728.7,1926.4,0.85
6/9/2014 11:53,1649.4,1926.4,0.85
6/9/2014 11:53,1509.8,1927.6,0.85
6/9/2014 11:53,1597.5,1930.7,0.85
6/9/2014 11:54,71.2,1928.3,0.85
6/9/2014 11:54,52.5,1927.6,0.85
6/9/2014 11:54,100.3,1927.6,0.85
6/9/2014 11:54,57.3,1928.3,0.85
6/9/2014 11:55,53.3,1928.3,0.85
6/9/2014 11:55,73.1,1928.3,0.85
6/9/2014 11:55,50.6,1928.3,0.85
6/9/2014 11:55,49.8,1930.7,0.85
6/9/2014 11:55,54.8,1930.7,0.85
6/9/2014 11:56,80.2,1931.3,0.85
6/9/2014 12:01,1648.7,1937.4,0.86
6/9/2014 12:01,1734.8,1936.2,0.86
6/9/2014 12:01,1673.2,1938.6,0.86
6/9/2014 12:01,1657,1938.6,0.86
6/9/2014 12:01,1610.9,1939.2,0.86
6/9/2014 12:01,1661.5,1937.4,0.86
6/9/2014 12:01,1684,1938.6,0.86
6/9/2014 12:02,1592.4,1934.4,0.86
6/9/2014 12:02,171,1938.6,0.86
6/9/2014 12:03,57.7,1940.5,0.86
6/9/2014 12:03,77.6,1941.7,0.86
6/9/2014 12:03,54.1,1941.7,0.86
6/9/2014 12:03,59.7,1940.5,0.86
6/9/2014 12:03,127.3,1940.5,0.86
6/9/2014 12:04,61.7,1943.5,0.86
6/9/2014 12:04,120.9,1940.5,0.86
6/9/2014 12:04,172.5,1940.5,0.86
6/9/2014 12:04,94.5,1940.5,0.86
6/9/2014 12:04,43.3,1941.7,0.86
6/9/2014 12:04,73.8,1941.7,0.86
6/9/2014 12:04,30.5,1939.2,0.86
6/9/2014 12:05,57,1940.5,0.86
